>26712_26713 both
chlM12 1010824 1010890
chlTAMOak81 1048791 1048858
chl189 1936470 1936537
chl17415 1019800 1019867
chlQ16 1019113 1019179
chlM71 1082393 1082459
chl2210 1027505 1027571
chlToZa7 1031144 1031210
chl50083 1026357 1026424
>29031_29032 both
chlM12 1794035 1794097
chlTAMOak81 1812073 1812135
chlChPhzTR39 1849833 1849895
chlChPhzTR38 1852875 1852937
chl189 1042027 1042089
chl66 1840291 1840353
chl17415 1790786 1790848
chlPb-St2 1748133 1748195
chlM71 1856383 1856445
chlC50 1807483 1807545
chlP2 1843223 1843285
chlChPhzS24 1842803 1842865
chl6698 1854073 1854135
chl2210 1820490 1820552
chlChPhzS23 1818756 1818818
chlLzh-T5 1817608 1817670
chlPA23 1744059 1744121
chlStFRB508 1624184 1624246
chlChPhzTR36 1859220 1859282
chl50083 1852944 1853006
chlO6 1919927 1919989
chlChPhzTR18 1832024 1832086
chlK27 1843554 1843616
>29033_29034 both
chlM12 1979003 1979094
chlChPhzTR39 2038389 2038480
chlChPhzTR38 2039099 2039190
chl189 851990 852081
chl66 2026972 2027063
chl17415 1981777 1981868
chlQ16 2005498 2005588
chlPb-St2 1928238 1928328
chlM71 2040182 2040273
chl19603 1996437 1996528
chlCW2 1991958 1992049
chlC50 1994882 1994973
chlP2 2027637 2027728
chlChPhzS24 2029026 2029117
chl6698 2040337 2040428
chl2210 2005627 2005718
chlChPhzS23 2007520 2007611
chlLzh-T5 2003817 2003908
chlPA23 1930245 1930336
chlStFRB508 1813140 1813231
chlChPhzTR36 2046932 2047023
chlO6 2107554 2107645
chlChPhzTR18 2018243 2018334
chlK27 2027241 2027332
>28253_28254 both
chlM12 2336391 2336454
chlChPhzTR39 2454279 2454342
chlChPhzTR38 2476355 2476418
chl66 2406096 2406159
chlQ16 2388646 2388709
chlC50 2358278 2358341
chlP2 2499138 2499201
chlJD37 4302125 4302188
chlChPhzS24 2367823 2367886
chl6698 2411732 2411795
chlChPhzS23 2331787 2331850
chlPA23 2267435 2267498
chlStFRB508 2237148 2237211
chlChPhzTR36 2455666 2455729
chlO6 2499058 2499121
chlChPhzTR18 2403022 2403085
>28559_28560 both
chlM12 2620255 2620316
chlTAMOak81 2643932 2643993
chlChPhzS140 2665061 2665128
chlDTR133 2684141 2684208
chlPCL1607 2648679 2648746
chlChPhzTR39 2707481 2707548
chlChPhzTR38 2730367 2730434
chl66 2683458 2683525
chl449 2715242 2715303
chl17415 2593289 2593434
chlQ16 2655393 2655454
chlM71 2633164 2633225
chl464 2717176 2717237
chlChPhzS135 2608883 2608950
chl19603 2619708 2619769
chlCW2 2636072 2636133
chlC50 2636536 2636603
chlP2 2777818 2777885
chlChPhzS24 2621832 2621899
chl6698 2686855 2686922
chlChPhzTR44 2636133 2636200
chl2210 2627672 2627733
chlToZa7 2650089 2650156
chlSLPH10 2686317 2686384
chlChPhzS23 2608350 2608411
chlPCL1391 2591774 2591841
chlLzh-T5 2621198 2621259
chlPA23 2546825 2546892
chlStFRB508 2504471 2504532
chlChPhzTR36 2709406 2709473
chl21509 2631772 2631839
chlO6 2776892 2776953
chlChPhzTR18 2656963 2657030
>26182_29118 both
chlM12 2701906 2702002
chlPb-St2 2628016 2628112
chlP2 2873217 2873313
chl6698 2767072 2767168
chlLzh-T5 2705311 2705407
chl21509 2722095 2722183
>29047_29048 both
chlM12 4086558 4086620
chlChPhzTR39 4226228 4226290
chlChPhzTR38 4191078 4191140
chl66 4140879 4140941
chl449 4262445 4262507
chl464 4264380 4264442
chlC50 4076854 4076916
chlJD37 2704270 2704332
chlChPhzS24 4126945 4127007
chlChPhzS23 4097437 4097499
chlLzh-T5 4118890 4118952
chlPA23 4106556 4106618
chlChPhzTR36 4180017 4180079
chlO6 4228074 4228136
chlChPhzTR18 4143392 4143454
chlK27 4193729 4193791
>29049_29050 both
chlM12 4872070 4872152
chlTAMOak81 4886718 4886799
chlDTR133 5145520 5145601
chlChPhzTR39 5180952 5181034
chlChPhzTR38 5125907 5125989
chl189 4791823 4791905
chl66 4978034 4978116
chl449 5151744 5151826
chl17415 4829647 4829729
chlZJU60 4983731 4983812
chlQ16 5078981 5079063
chlPb-St2 4828762 4828843
chlM71 4991236 4991318
chl464 5153679 5153761
chlChPhzS135 5121001 5121082
chlB25 5021330 5021412
chl17411 5211541 5211622
chl19603 5268016 5268098
chl17809 5211546 5211627
chlCW2 5066483 5066565
chlC50 4892051 4892133
chlP2 5379221 5379303
chlJD37 1898042 1898124
chlChPhzS24 4981098 4981180
chl6698 5203628 5203710
chlChPhzTR44 5091402 5091483
chl2210 5002069 5002151
chlToZa7 5064059 5064140
chlSLPH10 5312879 5312960
chlChPhzS23 4921823 4921904
chlLzh-T5 4984151 4984233
chlPA23 4950249 4950331
chlStFRB508 4943026 4943108
chlChPhzTR36 5111790 5111872
chl50083 5047497 5047578
chlO6 5051059 5051141
chlChPhzTR18 4990857 4990939
chlK27 5052480 5052562
>29053_29054 both
chlM12 5560155 5560245
chlTAMOak81 5518414 5518504
chlChPhzTR39 5848510 5848600
chlChPhzTR38 5790397 5790487
chl189 4114402 4114491
chl66 5635753 5635843
chl449 5804477 5804567
chl17415 5481313 5481403
chlQ16 5722761 5722851
chlPb-St2 5465061 5465151
chlM71 5641716 5641806
chl464 5806861 5806951
chl19603 5929157 5929247
chlCW2 5771067 5771157
chlC50 5566324 5566414
chlP2 6043660 6043750
chlChPhzS24 5732249 5732339
chl6698 5852065 5852155
chl2210 5664252 5664340
chlChPhzS23 5573449 5573539
chlLzh-T5 5654783 5654873
chlPA23 5704796 5704886
chlChPhzTR36 5776119 5776209
chl21509 5868970 5869060
chl50083 5662701 5662791
chlO6 5712095 5712185
chlChPhzTR18 5665738 5665828
chlK27 5708675 5708764
>28381_28382 both
chlM12 6398520 6398582
chlTAMOak81 6354250 6354312
chlChPhzTR39 6731815 6731877
chlChPhzTR38 6633401 6633463
chl189 3275702 3275765
chl66 6470968 6471030
chl449 6644003 6644065
chl17415 6300467 6300530
chlPb-St2 6293879 6293941
chl464 6646387 6646449
chlB25 6643953 6644016
chl19603 6789498 6789560
chlC50 6415489 6415551
chlP2 6876551 6876613
chlChPhzS24 6567705 6567767
chl6698 6718221 6718283
chlChPhzS23 6426458 6426520
chlLzh-T5 6494398 6494460
chlPA23 6774326 6774388
chlStFRB508 6480447 6480509
chlChPhzTR36 6608471 6608533
chl50083 6482741 6482804
chlO6 6537233 6537295
chlChPhzTR18 6520196 6520258
>29059_29060 both
chlM12 6603469 6603532
chl449 6846402 6846465
chlQ16 6812460 6812523
chl464 6848786 6848849
chl19603 6994215 6994278
chlCW2 6809575 6809638
chl2210 6738772 6738835
chlK27 6752071 6752134
>29705_29706 both
chlM12 2076335 2076419
chlM12 2076215 2076316
chlTAMOak81 2095607 2095690
chlTAMOak81 2095522 2095588
chlChPhzS140 2084701 2084796
chlDTR133 2128478 2128573
chlPCL1607 2130723 2130818
chlChPhzTR39 2181402 2181486
chlChPhzTR39 2181282 2181383
chlChPhzTR38 2180678 2180762
chlChPhzTR38 2180558 2180659
chl189 752488 752571
chl66 2156474 2156558
chl66 2156354 2156455
chl449 2179146 2179230
chl449 2179026 2179127
chl17415 2079673 2079774
chlZJU60 2064649 2064732
chlZJU60 2064529 2064630
chlQ16 2147970 2148054
chlQ16 2147850 2147951
chlPb-St2 2024020 2024121
chlM71 2135614 2135698
chlM71 2135494 2135595
chl464 2181080 2181164
chl464 2180960 2181061
chlChPhzS135 2094732 2094827
chlB25 2322323 2322424
chl17411 2134792 2134875
chl17411 2134707 2134773
chl19603 2093700 2093785
chl19603 2093580 2093681
chl17809 2134805 2134888
chl17809 2134720 2134786
chlCW2 2136868 2136952
chlCW2 2136748 2136849
chlC50 2090381 2090465
chlC50 2090261 2090362
chlP2 2162314 2162398
chlP2 2162194 2162295
chlJD37 4535315 4535399
chlJD37 4535418 4535519
chlChPhzS24 2124512 2124596
chlChPhzS24 2124392 2124493
chl6698 2184722 2184806
chl6698 2184602 2184703
chlChPhzTR44 2118918 2119013
chl2210 2102912 2102996
chl2210 2102792 2102893
chlToZa7 2093034 2093118
chlToZa7 2092914 2093015
chlSLPH10 2132218 2132313
chlChPhzS23 2102993 2103077
chlChPhzS23 2102873 2102974
chlPCL1391 2071693 2071788
chlLzh-T5 2101956 2102040
chlLzh-T5 2101836 2101937
chlPA23 2025741 2025825
chlPA23 2025621 2025722
chlStFRB508 1909278 1909362
chlStFRB508 1909158 1909259
chlChPhzTR36 2189973 2190057
chlChPhzTR36 2189853 2189954
chl21509 2105121 2105204
chl21509 2105003 2105102
chlO6 2205676 2205760
chlO6 2205556 2205657
chlChPhzTR18 2113742 2113826
chlChPhzTR18 2113622 2113723
chlK27 2122643 2122727
chlK27 2122523 2122624
>29073_29074 both
chlM12 1508488 1508579
chl449 1531575 1531666
chl17415 1514379 1514470
chlPb-St2 1472924 1473015
chlM71 1577018 1577109
chl464 1533509 1533600
chlC50 1509409 1509500
chlP2 1516829 1516920
chl6698 1535689 1535780
chlChPhzTR36 1563095 1563186
chlO6 1569948 1570039
chlChPhzTR18 1516961 1517052
chlK27 1560428 1560519
>29121_29122 both
chlM12 5290214 5290275
chlTAMOak81 5253106 5253158
chl189 4370244 4370304
chl66 5367306 5367367
chl17415 5236578 5236638
chlM71 5382142 5382203
chl19603 5658925 5658986
chlC50 5285737 5285798
chlP2 5771858 5771919
chl6698 5594188 5594249
chlChPhzS23 5312381 5312442
chlLzh-T5 5392731 5392792
chlPA23 5445394 5445455
chlChPhzTR36 5495428 5495489
chlK27 5443195 5443256
>5120_28184 both
chlM12 230558 230643
chl189 2728680 2728766
>28637_27435 both
chlM12 4184702 4184764
chl66 4266114 4266176
chlQ16 4263302 4263364
chlPb-St2 4107623 4107685
