genome	repintype	rayts	raytIDs
chlCW2	2	0	NA
chlCW2	3	0	NA
chlCW2	4	0	NA
chlCW2	5	0	NA
chlChPhzTR18	0	0	NA
chlChPhzTR18	1	1	chlChPhzTR18_0
chlChPhzTR18	2	0	NA
chlChPhzTR18	3	1	chlChPhzTR18_0
chlChPhzTR18	4	0	NA
chlChPhzTR18	5	0	NA
chlC50	2	0	NA
chlChPhzTR44	0	0	NA
chlC50	3	1	chlC50_0
chl17809	0	0	NA
chlC50	4	0	NA
chlC50	5	0	NA
chlChPhzTR44	3	0	NA
chl17809	3	0	NA
chlChPhzTR44	4	0	NA
chl17809	4	0	NA
chlChPhzTR44	1	0	NA
chl17809	1	0	NA
chlChPhzTR44	2	0	NA
chl17809	2	0	NA
chlStFRB508	0	0	NA
chlStFRB508	1	0	NA
chl17809	5	0	NA
chlStFRB508	4	1	chlStFRB508_0
chlStFRB508	5	1	chlStFRB508_0
chlC50	0	0	NA
chlStFRB508	2	1	chlStFRB508_0
chlC50	1	1	chlC50_0
chlStFRB508	3	0	NA
chlPb-St2	3	0	NA
chlChPhzS24	0	0	NA
chlPb-St2	2	0	NA
chlChPhzS24	1	1	chlChPhzS24_0
chlPb-St2	1	0	NA
chlPb-St2	0	1	chlPb-St2_0
chlChPhzS24	4	0	NA
chlChPhzS24	5	0	NA
chlPb-St2	5	0	NA
chlChPhzS24	2	0	NA
chlPb-St2	4	0	NA
chlChPhzS24	3	1	chlChPhzS24_0
chlChPhzS140	0	0	NA
chlChPhzS140	5	0	NA
chlChPhzS140	1	0	NA
chlChPhzS140	2	0	NA
chlChPhzS140	3	0	NA
chlChPhzS140	4	0	NA
chlB25	0	1	chlB25_0
chlB25	2	1	chlB25_1
chlB25	1	0	NA
chlB25	4	1	chlB25_1
chlB25	3	0	NA
chlChPhzTR44	5	0	NA
chlB25	5	1	chlB25_1
chl2210	3	0	NA
chl2210	4	0	NA
chl2210	5	0	NA
chlChPhzS23	1	1	chlChPhzS23_0
chl2210	0	0	NA
chlChPhzS23	2	1	chlChPhzS23_1
chl2210	1	0	NA
chl2210	2	0	NA
chlChPhzS23	0	0	NA
chlChPhzS23	5	1	chlChPhzS23_1
chlChPhzS23	3	1	chlChPhzS23_0
chlCW2	0	0	NA
chlChPhzS23	4	1	chlChPhzS23_1
chlCW2	1	0	NA
chl6698	2	0	NA
chl6698	1	1	chl6698_0
chl6698	0	0	NA
chlChPhzTR39	0	0	NA
chlM12	5	1	chlM12_0
chlM12	4	1	chlM12_0
chlChPhzTR39	2	0	NA
chlM12	3	0	NA
chlChPhzTR39	1	1	chlChPhzTR39_0
chlM12	2	1	chlM12_0
chlChPhzTR39	4	0	NA
chlChPhzTR39	3	1	chlChPhzTR39_0
chlChPhzTR39	5	0	NA
chlZJU60	2	0	NA
chlZJU60	1	0	NA
chlZJU60	4	0	NA
chlZJU60	3	0	NA
chlM12	1	0	NA
chlM12	0	0	NA
chlZJU60	5	0	NA
chl6698	5	0	NA
chl6698	4	0	NA
chl6698	3	1	chl6698_0
chl449	4	0	NA
chl17411	4	0	NA
chl449	3	0	NA
chl17411	5	0	NA
chl17411	2	0	NA
chl449	5	0	NA
chl17411	3	0	NA
chl449	0	0	NA
chl449	2	0	NA
chl449	1	0	NA
chl464	3	0	NA
chl464	2	0	NA
chl464	5	0	NA
chl464	4	0	NA
chl464	1	0	NA
chlZJU60	0	0	NA
chl464	0	0	NA
chlTAMOak81	4	1	chlTAMOak81_0
chlTAMOak81	5	1	chlTAMOak81_0
chlTAMOak81	2	1	chlTAMOak81_0
chlTAMOak81	3	1	chlTAMOak81_2
chlTAMOak81	0	1	chlTAMOak81_1
chlTAMOak81	1	1	chlTAMOak81_2
chl17411	0	0	NA
chl17411	1	0	NA
chlChPhzTR38	1	1	chlChPhzTR38_0
chlChPhzTR38	0	0	NA
chlChPhzTR38	3	1	chlChPhzTR38_0
chlChPhzTR38	2	0	NA
chlSLPH10	0	0	NA
chlChPhzTR38	5	0	NA
chlSLPH10	1	0	NA
chlChPhzTR38	4	0	NA
chlO6	2	1	chlO6_1
chlO6	1	1	chlO6_0
chlO6	0	0	NA
chlO6	5	1	chlO6_1
chlO6	4	1	chlO6_1
chlO6	3	1	chlO6_0
chlK27	0	0	NA
chlSLPH10	4	0	NA
chl50083	4	0	NA
chlK27	1	0	NA
chlSLPH10	5	0	NA
chl50083	5	0	NA
chlK27	2	1	chlK27_0
chlSLPH10	2	0	NA
chlK27	3	0	NA
chlSLPH10	3	0	NA
chlK27	4	1	chlK27_0
chl50083	0	0	NA
chlK27	5	1	chlK27_0
chl50083	1	0	NA
chl50083	2	0	NA
chl50083	3	0	NA
chlM71	5	1	chlM71_0
chlM71	3	0	NA
chlM71	4	1	chlM71_0
chlM71	1	0	NA
chlM71	2	1	chlM71_0
chlM71	0	0	NA
chlP2	5	1	chlP2_0
chlP2	4	1	chlP2_0
chlP2	3	1	chlP2_1
chlDTR133	0	0	NA
chlP2	2	1	chlP2_0
chlPCL1606	5	0	NA
chlP2	1	1	chlP2_1
chlDTR133	2	0	NA
chlPCL1606	4	0	NA
chlP2	0	0	NA
chlDTR133	1	0	NA
chlChPhzTR36	3	1	chlChPhzTR36_0
chlPCL1606	3	0	NA
chlChPhzTR36	2	0	NA
chlPCL1606	2	0	NA
chlChPhzTR36	5	0	NA
chlPCL1606	1	0	NA
chlChPhzTR36	4	0	NA
chlPCL1606	0	0	NA
chlLzh-T5	0	0	NA
chlLzh-T5	1	1	chlLzh-T5_0
chlLzh-T5	2	0	NA
chlLzh-T5	3	1	chlLzh-T5_0
chlLzh-T5	4	0	NA
chlLzh-T5	5	0	NA
chlJD37	3	0	NA
spMRSN12121	4	0	NA
chlPA23	1	1	chlPA23_0
chlJD37	2	0	NA
spMRSN12121	3	0	NA
chlPA23	0	0	NA
chlJD37	1	0	NA
chlPA23	3	1	chlPA23_0
chlJD37	0	0	NA
spMRSN12121	5	0	NA
chlPA23	2	0	NA
spMRSN12121	0	0	NA
chlPA23	5	0	NA
chlPA23	4	0	NA
spMRSN12121	2	0	NA
spMRSN12121	1	0	NA
chlPCL1391	5	0	NA
chlChPhzTR36	1	1	chlChPhzTR36_0
chlChPhzTR36	0	0	NA
chlPCL1391	0	0	NA
chlPCL1391	2	0	NA
chlPCL1391	1	0	NA
chlJD37	5	0	NA
chlPCL1391	4	0	NA
chlJD37	4	0	NA
chlPCL1391	3	0	NA
chl19603	5	0	NA
chl19603	4	0	NA
chl19603	3	0	NA
chl19603	2	0	NA
chl19603	1	0	NA
chlPCL1607	5	0	NA
chl19603	0	0	NA
chlPCL1607	4	0	NA
chlPCL1607	3	0	NA
chlPCL1607	2	0	NA
chlPCL1607	1	0	NA
chlPCL1607	0	0	NA
chlToZa7	4	0	NA
chlToZa7	3	0	NA
chlToZa7	5	0	NA
chl21509	0	0	NA
chlToZa7	0	0	NA
chlToZa7	2	0	NA
chlToZa7	1	0	NA
chl17415	0	1	chl17415_0
chl17415	1	0	NA
chl66	0	0	NA
chl66	1	1	chl66_0
chl17415	4	1	chl17415_1
chl17415	5	1	chl17415_1
chl17415	2	1	chl17415_1
chl17415	3	0	NA
chl21509	2	0	NA
chl21509	1	1	chl21509_0
chl21509	4	0	NA
chl21509	3	1	chl21509_0
chl21509	5	0	NA
chlDTR133	4	0	NA
chlDTR133	3	0	NA
chlDTR133	5	0	NA
chl66	2	1	chl66_1
chl66	3	1	chl66_0
chl66	4	1	chl66_1
chl66	5	1	chl66_1
chl189	2	0	NA
chl189	3	0	NA
chlChPhzS135	5	0	NA
chlQ16	0	0	NA
chl189	4	0	NA
chlChPhzS135	4	0	NA
chlQ16	1	0	NA
chl189	5	0	NA
chlChPhzS135	3	0	NA
chl189	0	1	chl189_0
chl189	1	0	NA
chlQ16	2	0	NA
chlQ16	3	0	NA
chlQ16	4	0	NA
chlQ16	5	0	NA
chlChPhzS135	2	0	NA
chlChPhzS135	1	0	NA
chlChPhzS135	0	0	NA
